Название,Тип,Монеты,Класс,Комментарий,Очки
Повторяет за игроком его ходы,противник,серебро,элемент,,1
Скорость перемещения выше игрока,противник,серебро,поведение,,1
Скорость перемещения ниже игрока,противник,серебро,поведение,,1
Скорость перемещения меняется,противник,серебро,поведение,,1
Появление новых противников случайным образом,противник,серебро,поведение,,1
Появление новых по определенному алгоритму,противник,серебро,поведение,,1
Появление старых на точке респауна,противник,серебро,поведение,,1
Противники стреляют на расстоянии,противник,серебро,поведение,,1
Атакует находясь рядом,противник,серебро,поведение,(соседняя клетка),1
"Атакует, занимая клетку игрока",противник,серебро,поведение,,1
Стреляющий игрок,игрок,серебро,поведение,,1
При уничтожении превращается в кристаллы,противник,серебро,поведение,,1
Разная прочность противников,противник,серебро,поведение,,1
Умный противник,противник,золото,элемент,"(двигается по направлению к игроку, учитывая препятствия)",2
Может использовать инвентарь игрока,противник,золото,поведение,,2
Интеллектуальный противник,противник,золото,элемент,(пытается предугадать действия игрока),3
Проверка проходимости уровня,уровни,золото,,,2
Подсказка для прохождения уровня,уровни,золото,,"(какой сделать следующий шаг, чтобы победить)",2
Редактор уровней,уровни,золото,,,3
Эмуляция прохождения уровня,уровни,золото,,(визуально как будто играет игрок),4
Генератор уровней,уровни,золото,,"(не просто хаотичный, а с использованием, шаблонов, схем, алгоритмов и т.п.)",4
Возможность играть вдвоём,фича,золото,,(на одном компьютере),1
Замечание,,,,,
Замечание (исправлено),,,,,
Индексатор для получения элемента на поле,2-я лаба,бронза,,,1
Вызов перекрытых методов элементов,,бронза,,,1
Инструкция к игре,,бронза,меню,,1
Выкапывание ямы,,бронза,,,1
Стиль оформления,качество кода,бронза,,,1
Список результатов,результаты,,,,1
Настройка громкости фоновой музыки,интерфейс,бронза,,Регулирование громкости фоновой музыки/звуков в меню,1
"Курсор принимает вид ""активного"" элемента",интерфейс,бронза,,"Курсор динамически принимает вид активного элемента, т.е. при смене элемента (к примеру, с помощью клавиши или колеса мышки) курсор принимает вид нового элемента, который установится на поле при клике пользователя",2
Сорняки,элемент,серебро,элемент,"Игрок может ""скосить"" сорняки только подойдя справа/слева (т.е просто спрыгнув Вы от них не избавитесь). Обязательные.",1
Загрузка игры,фича,бронза,,Анимация загрузки между скрытием окна меню и прогрузкой игровой карты,1
"Выход из игры, когда у игрока заканчиваются жизни",,бронза,,,1
Обязательные монетки,,бронза,,,1
Создание стены в потолке,,бронза,,Игрок вручную восстанавливает разрушенную стену.,2
Противник?,,,,,
Разные иконки направлений противника,противник,бронза,,,1
"Движение ""тор""",противник,бронза,поведение,,2
Выбор уровня или сложности,интерфейс,бронза,меню,,1
Простой подсчет очков,,бронза,,,1
Мина для врагов,,серебро,,,1
Подбираемый предмет,,бронза,,,1
Выбор игрока,,бронза,меню,"(Возможность смены игрока с его настройками. Например скорость и стиль игры, а также последняя карта, на которой играл игрок)",1
Выбор стиля (темы) игры,,серебро,меню,(У игрока есть выбор между разными наборами символов для отображения в консольной игре),1
Регулировка скорости игры,,серебро,меню,(Игрок решает как быстро будут происходить все события в игре),1
Бустер,,серебро,,"(Специальная возможность игрока влючить режим Энерджайзера где-угодно и когда-угодно, что бы спастись от врагов. Когда время действия бустера оканчивается клавиши управления инвертированы на время)",1
Заставка поражения,,бронза,,,1
Заставка победы,,бронза,,,1
Лимит бомбочек на уровень,разное,бронза,поведение,,1
След от взрыва,элемент,серебро,элемент,,1
Множитель очков,призы,серебро,элемент,,1
Магазин,разное,серебро,элемент,,1
Шипы (появляются и пропадают на клетке),препятствия,серебро,элемент,,1
Случайное появление стен,препятствия,серебро,поведение,,1
Осколок мины,призы,серебро,элемент,"(при наступании на мину она взрывается, оставляя в случайном месте карты осколок, собрав несколько штук которых игрок сможет видеть все мины на поле)",1
Капкан,препятствия,серебро,элемент,"(при наступании на капкан игрок не может двигаться до момента совершения определенного количества ""попыток ходов"")",1
Ослепитель игрока,элемент,серебро,поведение,"(если подобрать этот антиприз то на определенное количество ходов игрок ""ослепнет""(поле станет черным), но все клетки которые уже слепой игрок пройдёт, он будет видеть даже во время слепоты(якобы он уже туда сходил и теперь знает что там))",1
Анимация игрока,,серебро,,,1
Отдельный подсчет очков ,результаты,бронза,,Подсчет каждого бонуса по-отдельности и вывод в конце игры.,1
Гравитация для камней,,серебро,,,1
Мячик (инерционный),,серебро,,,1
Установка щита для мячика,,бронза,,,1
Случайное появление фрукта (змейка),элемент,серебро,элемент,,1
Вывод результатов,,бронза,, Выводятся вовремя игрового процесса  сбоку или снизу ,1
Выход из игры по кнопке,выход,бронза,,"При нажатии кнопки(Например, esc - осуществляется выход из игры)",1
Частично обязательные монетки,элемент,серебро,элемент,"Например, нужно собрать определенное количество.",1
Использоование изображений,,бронза,,,1
Использование изображений игровых элементов из ресурсов,,бронза,,,1
Использование всех игровых элементов из консольной версии,,,,,
Качественная отрисовка,,,,,
Элементы управления,,,,,
Блок для отображения информации,,,,,
Использование базы данных,,серебро,,,1
