Опис,coins,used in interface,who added,Назва,Группа,Тип
"Розділити опрацювання оновлень ігрового поля і редеринг у окремі потоки, реалізувати синхронізацію з мінімальною шкодою для продуктивності",1,0,Костянтин Щербина,Використання потоків для паралельного опрацювання візуалізації та оновлень,Супровід,Реалізація
Додати обмеження максимальної частоти кадрів задля уникнення надмірного навантаження на систему,1,0,Костянтин Щербина,Обмеження частоти кадрів,Супровід,Реалізація
Підключення та застосування пакетів NuGet у проєкті,1,0,Віталій Ляпота,Використання пакетів NuGet у проекті,Супровід,Реалізація
,1,16,Віталій Ляпота,Введення імені гравця,Програма,Статистика
"Наприклад, кількість зібраних призів тощо.",1,50,Віталій Ляпота,Простий підрахунок очок,Програма,Статистика
"Наприклад, залежна від кількох критеріїв: час проходження, кількість ходів, зібрані призи тощо.",1,5,Віталій Ляпота,Особлива формула для підрахунку очок,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,12,Віталій Ляпота,Кількість ходів,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,17,Віталій Ляпота,Час проходження рівня/гри,Програма,Статистика
"Наприклад, якщо не встигнути виграти за відведений час - game over",1,7,Віталій Ляпота,Зворотний відлік часу,Програма,Статистика
"Наприклад, кількість необов'язкових призів або ключів тощо.",1,6,Віталій Ляпота,Особливі підрахунки бонусів та іншого,Програма,Статистика
Упорядкований за підсумковими результатами,1,6,Віталій Ляпота,Кращі результати,Програма,Статистика
"Наприклад, упорядкований за часом гри",1,5,Віталій Ляпота,Результати всіх ігор,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,26,Артем Воловий,Кількість зібраних призів,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,5,Артем Воловий,Кількість пройдених рівнів,Програма,Статистика
"І виведення в статистиці наприкінці гри, або ж під час гри",1,3,Артем Воловий,Кількість поразок,Програма,Статистика
"Йдеться про, наприклад, такого виду оформлення (але не обов'язково таке):\n╔═══╤═══╗\n╟───┼───╢",1,21,Віталій Ляпота,Псевдографіка для оформлення меню та/або поля,Програма,Графіка
Для головного екрана або заставок перемоги/поразки та інше,1,19,Віталій Ляпота,Консольні псевдографічні замальовки,Програма,Графіка
"Йдеться про якийсь косметичний алгоритм, який працює на ""фоні"" в головному меню (або пуазі тощо). І він необхідний виключно заради “оживлення” картинки. Приклад: у грі Battle City додати анімацію танчику що весь час їздить на фоні головного меню.",1,3,Віталій Ляпота,Косметична анімація,Програма,Графіка
"Карта візуально завантажується поступово, за допомогою якогось алгоритму (наприклад, кожна клітина випадково, а не по порядку).",1,7,Віталій Ляпота,Гарне завантаження карти,Програма,Графіка
Анімація завантаження між приховуванням вікна меню і завантаженням ігрової карти,1,4,Віталій Ляпота,"Анімація переходів між ""вікнами""",Програма,Графіка
Звуки за певних обставин,1,24,Віталій Ляпота,Звуковий супровід,Програма,Звуки та музика
Фонова музика,1,24,Віталій Ляпота,Музичний супровід,Програма,Звуки та музика
"Можливість змінити музику, що програється (наприклад, наступну у вбудованому списку)\nПриклад: перемикання, за допомогою якоїсь клавіші (користувачем)",1,2,Віталій Ляпота,Зміна фонової музики,Програма,Звуки та музика
"Іконки форм, наприклад у WinForms (актуально для 3-ї лаби)\n🦋 Актуально тільки для GUI",1,25,Віталій Ляпота,🦋Іконка гри 🦋,Програма,Інтерфейс
"При спробі закрити вікно вискакує повідомлення ""Так/Ні/Скасування"", завдяки чому запобігається випадкове згортання гри\n🦋 Актуально тільки для GUI",½,10,Віталій Ляпота,MessageBox при спробі згорнути вікно 🦋,Програма,Інтерфейс
"Здесь имеется в виду изменение масштаба отображения прямо во время игры, актуально в основном для 3-й лабы, т.к. для консоли реализовать проблематично\n🦋 Актуально только для GUI",1,1,Віталій Ляпота,Масштабування карти під час гри 🦋,Програма,Інтерфейс
Відображення деяких елементів за допомогою GIF'ок\n🦋 Актуально тільки для GUI,2,7,Віталій Ляпота,Використання GIF-анімацій 🦋,Програма,Графіка
Вибір мови та переклад усього інтерфейсу,3,1,Віталій Ляпота,Багатомовний інтерфейс,Програма,Інтерфейс
"Камера переміщується не на цілу клітину за кадр, а поступово",1,0,Костянтин Щербина,Плавне проходження камери за гравцем 🦋,Програма,Інтерфейс
"Можливість поставити фонову музику на паузу.\nПриклад: перемикання, за допомогою якоїсь клавіші (користувачем) Після повторного натискання має поновлюватися з того ж місця.",1,5,Артем Воловий,Пауза фонової музики,Програма,Звуки та музика
"Можливість змінювати гучність фонової музики під час гри, не вимикаючи її",1,5,Евгений Ляшенко,Зміна гучності фонової музики,Програма,Звуки та музика
,1,3,Artem Chuvaiev,Циклічне програвання музики під час гри,Програма,Звуки та музика
"Передбачено повідомлення, за умови коли користувач ввів некоректний формат даних.\nПриклади:\n* введення розмірів поля(тільки числові значення/значення у конкретному діапазоні);\n* обрання кольору(тільки рядок, який є назвою кольору та відповідно не ломає програму)",1,14,Олександра Атаманова,Перевірка введених даних користувачем,Програма,Фічі
"(Не впевнена з приводу кількості монеток, напишіть, будь ласка, якщо потрібно зменшити)\nУ будь-який момент часу гравець може покласти щось в інвентар, відкрити його (окреме вікно), вибрати предмет, який він хоче дістати (за допомогою клавіш управління) і взяти його в руку (або повернути назад через непотрібність).",2,1,Владислава Герасимова,Інтреактивний інвентар,Програма,Вікна
"(Не впевнена з приводу кількості монеток, напишіть будь ласка, якщо потрібно зменшити)                                                                       Під час взаємодії зі скринею відкривається окреме вікно з її вмістом. Є можливість вибрати необхідний предмет (за допомогою клавіш керування) і забрати його в інвентар.",2,2,Владислава Герасимова,Інтерактивна скриня,Програма,Вікна
"У разі виходу за межу карти гравець переміщається на іншу карту, пов'язану з попередньою, у відповідне місце (як якщо б обидві ці карти були частинами однієї великої карти, з якої ми бачимо тільки шматочки).",1,3,Владислава Герасимова,Перехід з картки на картку,Програма,Фічі рівнів
"Під час проходження рівня при досягненні його фінішу, гравця буде перенесено на наступний рівень.",1,3,Artem Chuvaiev,Перехід з рівня на рівень,Програма,Фічі рівнів
"Гра буде продовжуватися до тих пір, поки гравець не втратить всі очки здоров’я.(аналог Subway Surf)",2,1,Artem Chuvaiev,Нескінченна гра,Програма,Фічі рівнів
"Якщо неігровий персонаж ""говорить"" щось у консоль, текст виводиться не суцільним блоком, а анімацією, наче персонаж справді промовляє слова.",1,2,Владислава Герасимова,"Анімована ""розмова"" в консолі",Програма,Графіка
Можливість виділити і переміщувати розміщені на рівні елементи (з можливістю одночасного виділення декількох елементів),2,1,Костянтин Щербина,Виділення та перетягування елементів рівня,Програма,Редактор рівнів
"Якщо, наприклад, виділені пастка і супротивник, у яких є однаковий параметр ""шкода, що наноситься"", користувачеві надається можливість одночасно змінити цей параметр для обох елементів",2,0,Костянтин Щербина,Одночасне редагування загальних параметрів у виділених елементів,Програма,Редактор рівнів
Можливість скасування та повторного застосування дій у редакторі (Undo/Redo),2,1,Костянтин Щербина,Історія змін,Програма,Редактор рівнів
"Додавання сполучень клавіш для спрощення використання редактора. Наприклад, клавіші для швидкого вибору інструментів, використання клавіш-модифікаторів (ctrl, shift, alt) для активації додаткової поведінки обраного інструменту та інші ""шорткати"" для збільшення продуктивності використання редактора.",1,2,Костянтин Щербина,Комбінації клавіш,Програма,Редактор рівнів
Можливість одночасно відкрити та перемикатися між кількома рівнями в редакторі за допомогою вкладок,1,1,Костянтин Щербина,Вкладки,Програма,Редактор рівнів
"Функціонал масштабування рівня, а також переміщення видимої області в редакторі",2,1,Костянтин Щербина,Навігація,Програма,Редактор рівнів
"Можливість додавати власну поведінку противникам і/або іншим ігровим елементам за допомогою скриптів. Наприклад, у C# .NET можна використовувати бібліотеку YantraJS або jint для виконання скриптів на JavaScript. Ну або можна реалізувати свою просту мову, яка, наприклад, використовує просто записаний у стовпчик набір команд (однак така мова має щонайменше підтримувати прості умови на кшталт перевірки наявності перешкод)",6,1,Костянтин Щербина,Скриптинг,Програма,Фічі
Відображення плавного польоту кулі,1,9,yooud,Політ кулі,Програма,Графіка
"Наприклад, клітинка поля займає 1 клітинку консолі, а гравець – 16 (квадрат 4 на 4). Це значно ускладнює не тільки відображення елементів на екрані, а й перевірку на зіткнення між елементами.",2,5,Roman Henbach,Ігрові елементи різних розмірів,Програма,Графіка
"Кілька шарів (наприклад, стандартні три в MVC), використання Dependency Injection тощо.",2,0,Віталій Ляпота,Багаторівнева архітектура додатка,Супровід,Реалізація
"Спільна кодова база між консоллю і GUI (усі класи ігрової логіки, крім введення/виведення)\n💡 Обявʼязкове завдання на 90+ по GUI",4,0,Віталій Ляпота,Загальна кодова база (3-тя лаба),Супровід,Реалізація
"Приклад звіта:\n* У базовому класі Element:\n  * virtual bool CanMove()\n  * abstract void Action(Engine engine)\n* У класі Wall перекривається:\n  * CanMove()\n* У класі Coin перекривається:\n  * Action(Engine engine)\n* Клас Engine — це ...\nАбо інший приклад:\n* У базовому класі BaseEntity:\n  * поле bool CanGoThrough\n  * поле bool isKilling\n  * метод React()\n* У класі Monster:\n  * у конструкторі: isKilling = True\n* У класі Barrier:\n  * у конструкторі: CanGoThrough = False\n* Клас Player доступний у BaseEntity через поле та конструктор\nЦе просто приклади, робіть по-своєму, але кратко та зрозуміло :)\nЯкщо в вас цікаве або нестандартне рішення — давайте подробиці",1,0,Віталій Ляпота,Восьма монетка,Супровід,Реалізація
"Використовувати модель ""Finite State Machine"" у будь-якій частині проєкту. Реалізувати валідацію переходів між станами, унеможливити репрезентацію некоректного стану",3,0,Костянтин Щербина,Алгоритм скінченого автомату  (finite state machine),Супровід,Реалізація
"Реалізувати в GUI версії гри анімацію за допомогою фрагментних шейдерів (fragment shaders), що виконуються на відеокарті",4,0,Костянтин Щербина,Анімація з використанням фрагментних шейдерів,Супровід,Реалізація
"Зворотній відлік перед початком гри, що виглядає як спалахуючі на екрані надписи: «3», «2», «1», «START».",1,8,Kseniia Lebedenko,Зворотній відлік,Програма,Вікна
Можливість обрати режим гри перед початком.,1,4,Юлія Дручек,Вибір режиму гри,Програма,Вікна
"Реалізувати окрему програму-ретранслятор, призначену для запуску на сервері, яка дасть змогу гравцям зв'язуватися без прямого з'єднання через локальну мережу. Для ідентифікації ігрової сесії можна використовувати тимчасові короткі цифрово-буквені коди (як у грі Among Us), або систему акаунтів (якщо вона реалізована)",4,1,Костянтин Щербина,"Відтворення по мережі через ""ретранслятор""",Програма,Фічі
"Реалізувати базову підтримку використання ігрових контролерів (хоча б блоку стрілок). Для читання введення з контролера на C# можна використовувати бібліотеку HIDDevices. Для емуляції ігрового контролера можна використовувати, наприклад, програму з відкритим вихідним кодом X360CE.",3,4,Костянтин Щербина,Підтримка ігрових контролерів (геймпадів),Програма,Вікна
"Наприклад, гравець ставить бомби, але ця кількість обмежена.",,0,Дар'я Курінна,"Кількість елементів, яку можна поставити",Програма,Статистика
"Гра відмальовує макети, які складаються з віджетів",4,1,yooud,Рендер движок,Програма,Фічі
Алгоритм з'єднання кімнат у єдину карту,4,2,yooud,Створення карти кімнат,Програма,Створення рівнів
Перезапуск поточного рівня через меню паузи,1,5,Костянтин Щербина,Перезапуск рівня,Програма,Вікна
"При проходженні першого рівня, на другому і далі Вороги будуть складнішими, а бустерів буде менше.",2,2,Artem Chuvaiev,Зміна складності рівня по ходу проходження.,Програма,Вікна
При натисканні на клавішу гра завершиться.,,14,Дар'я Курінна,Завершення гри,Програма,Вікна
,,1,Дар'я Курінна,Інформація про автора,Програма,Вікна
Використовуючи Ray casting\n(кількість монеток можна зробити більшою або меншою),6,0,Артем Васютін,3д-графіка,Програма,Графіка
,3,0,Артем Васютін,Можливість грати на мобільних пристроях 🦋,Програма,Фічі
,3,3,Artem Chuvaiev,Створення умовної б.д. для збереження всіх гравців та їх статистики на локальному комп’ютері,Програма,Фічі
,1,0,Віталій Ляпота,📽️ Виправлення зауважень з першої лаби,Супровід,Відео-демки
,1,0,Віталій Ляпота,📽️ Демка програми GUI (функціонал),Супровід,Відео-демки
,1,0,Віталій Ляпота,📽️ Демка по коду третьої лаби,Супровід,Відео-демки
описати всі методи та функції гри у гітбук для прискорення захисту,4,0,Микола Білоус,Звіт у gitbook,Супровід,Реалізація
,,0,Віталій Ляпота,Патерн Singleton,Супровід,Патерни проектув.
,,0,MrMelog,Патерн Fluent Builder,Супровід,Патерни проектув.
