name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Особая формула для подсчёта очков,"Например, зависящая от нескольких критериев: время прохождения, количество ходов, собранные призы, и т.д.",1,,,Статистика,,,,,,Віталій Ляпота,,5,tasks
Количество ходов,"И вывод в статистике в конце игры, либо же во время игры",1,,,Статистика,,,,,,Віталій Ляпота,,8,tasks
Время прохождения уровня/игры,"И вывод в статистике в конце игры, либо же во время игры",1,,,Статистика,,,,,,Віталій Ляпота,,9,tasks
Обратный отсчёт времени,"Например, если не успеть выиграть за отведённое время — game over",1,,,Статистика,,,,,,Віталій Ляпота,,6,tasks
Особые подсчёты бонусов и прочего,"Например, количество необязательных призов или ключей и т.п.",1,,,Статистика,,,,,,Віталій Ляпота,,3,tasks
Лучшие результаты,Упорядоченный по итоговым результатам,1,,,Статистика,,,,,,Віталій Ляпота,,3,tasks
Результаты всех игр,"Например, упорядоченный по времени игры",1,,,Статистика,,,,,,Віталій Ляпота,,2,tasks
Количество собранных призов,"И вывод в статистике в конце игры, либо же во время игры",1,,,Статистика,,,,,,Артем Воловий,,15,tasks
Количество пройденных уровней,"И вывод в статистике в конце игры, либо же во время игры",1,,,Статистика,,,,,,Артем Воловий,,3,tasks
Количество поражений,"И вывод в статистике в конце игры, либо же во время игры",1,,,Статистика,,,,,,Артем Воловий,,1,tasks
Псевдографика для оформления меню и/или поля,"Подразумевается, например, такого вида оформление (но не обязательно такое):\n╔═══╤═══╗\n╟───┼───╢",1,,,Графіка,,,,,,Віталій Ляпота,,14,tasks
Консольные псевдографические зарисовки,Для главного экрана или заставок победы/поражения и прочее,1,,,Графіка,,,,,,Віталій Ляпота,,12,tasks
Косметическая анимация,"Подразумевает какой-то косметический алгоритм, который работает на “фоне” в главном меню (или пуазе и тд.) и необходим исключительно для того, чтоб как-то “оживить” картинку, к примеру в Battle City - постоянно катающийся на фоне танк в главном меню.",1,,,Графіка,,,,,,Віталій Ляпота,,1,tasks
Косметическая анимация,"Подразумевает какой-то косметический алгоритм, который работает на “фоне” в главном меню (или пуазе и тд.) и необходим исключительно для того, чтоб как-то “оживить” картинку, к примеру в Battle City - постоянно катающийся на фоне танк в главном меню.",1,,,Графіка,,,,,,Кирило Равлюк,,0,tasks
Красивая загрузка карты,"Карта визуально загружается постепенно с помощью какого-то алгоритма (например, каждая клетка рандомно, а не по порядку).",1,,,Графіка,,,,,,Віталій Ляпота,,3,tasks
"Анимация переходов между ""окнами""",Анимация загрузки между скрытием окна меню и прогрузкой игровой карты,1,,,Графіка,,,,,,Віталій Ляпота,,3,tasks
Звуковое сопровождение,Звуки при определённых обстоятельствах,1,,,Звуки та музика,,,,,,Віталій Ляпота,,15,tasks
Музыкальное сопровождение,Фоновая музыка,1,,,Звуки та музика,,,,,,Віталій Ляпота,,13,tasks
Изменение фоновой музыки,"Возможность изменить проигрываемую музыку (например, следующую во встроенном списке)\nПереключение, например, с помощью какой-то клавиши (пользователем)",1,,,Звуки та музика,,,,,,Віталій Ляпота,,1,tasks
Иконка игры  🦋,"Иконки форм, например в WinForms (актуально для 3-й лабы)\n🦋 Актуально только для GUI",1,,,Інтерфейс,,,,,,Віталій Ляпота,,16,tasks
MessageBox при попытке закрыть форму 🦋,"При попытке закрыть окно выскакивает сообщение «Да-Нет-Отмена», позволяя предотвратить случайное закрытие\n🦋 Актуально только для GUI",½,,,Інтерфейс,,,,,,Віталій Ляпота,,7,tasks
Масштабирование карты во время игры  🦋,"Здесь имеется в виду изменение масштаба отображения прямо во время игры, актуально в основном для 3-й лабы, т.к. для консоли реализовать проблематично\n🦋 Актуально только для GUI",1,,,Інтерфейс,,,,,,Віталій Ляпота,,1,tasks
Использование GIF-анимаций  🦋,Отображение некоторых элементов с помощью GIF’ок\n🦋 Актуально только для GUI,2,,,Графіка,,,,,,Віталій Ляпота,,6,tasks
Многоязычный интерфейс,Выбор языка и перевод всего интерфейса,3,,,Інтерфейс,,,,,,Віталій Ляпота,,1,tasks
Плавное следование камеры за игроком 🦋,"Камера перемещается не на целую клетку за кадр, а плавно",1,,,Інтерфейс,,,,,,Костянтин Щербина,,0,tasks
Пауза фоновой музыки,"Возможность поставить фоновую музыку на паузу.\nНапример, с помощью какой-то клавиши (пользователем).\nПосле повторного нажатия должна возобновляться с того же места.",1,,,Звуки та музика,,,,,,Артем Воловий,,3,tasks
Изменение громкости фоновой музыки,"Возможность изменять громкость фоновой музыки во время игры, не выключая её",1,,,Звуки та музика,,,,,,Yevhen Liashenko,,3,tasks
Перевірка введених даних користувачем,"Передбачено повідомлення, за умови коли користувач ввів некоректний формат даних.\nПриклади:\n* введення розмірів поля(тільки числові значення/значення у конкретному діапазоні);\n* обрання кольору(тільки рядок, який є назвою кольору та відповідно не ломає програму)",1,,,Фічі,,,,,,Олександра Атаманова,,11,tasks
Интреактивный инвентарь,"(Не уверенна по поводу кол-ва монеток, напишите пожалуйста, если нужно уменьшить)\nВ любой момент времени игрок может положить что-то в инвентарь, открыть его (отдельное окно), выбрать предмет, который он хочет достать (с помощью клавиш управления) и взять его в руку (или вернуть обратно за ненадобностью).",2,,,Вікна,,,,,,Владислава Герасимова,,1,tasks
Интерактивный сундук,"(Не уверенна по поводу кол-ва монеток, напишите пожалуйста, если нужно уменьшить)\nПри взаимодействии с сундуком открывается отдельное окно с его содержимым. Есть возможность выбрать необходимый предмет (с помощью клавиш управления) и забрать его в инвентарь.",2,,,Вікна,,,,,,Владислава Герасимова,,1,tasks
Переход с карты на карту,"При выход за предел карты игрок перемещается на другую картуб связанную с предыдущей, в соответствующее место (как если-бы обе эти карты были частями одной большой карты, из которой мы видим только кусочки)",1,,,Фічі рівнів,,,,,,Владислава Герасимова,,3,tasks
Анимированый “разговор” в консоли,"Если неигровой персонаж “говорит” что-то в консоль, текст выводится не цельным блоком, а анимацией, как будто персонаж действительно проговаривает слова.",1,,,Графіка,,,,,,Владислава Герасимова,,1,tasks
Выделение и перестаскивание элементов уровня,Возможность выделить и перемещать размещенные на уровне элементы (с возможностью одновременного выделения нескольких элементов),2,,,Редактор рівнів,,,,,,Костянтин Щербина,,1,tasks
Одновременное редактирование общих параметров у выделенных элементов,"Если например выделены ловушка и противник, у которых есть одинаковый параметр “наносимый урон”, пользователю даётся возможность одновременно изменить этот параметр для обеих элементов",2,,,Редактор рівнів,,,,,,Костянтин Щербина,,0,tasks
История изменений,Возможность отмены и повторного применения действий в редакторе (Undo/Redo),2,,,Редактор рівнів,,,,,,Костянтин Щербина,,1,tasks
Сочетания клавиш,"Добавление сочетаний клавиш для упрощения использования редактора. Например, клавиши для быстрого выбора инструментов, использование клавиш-модификаторов (ctrl, shift, alt) для активации дополнительного поведения выбранного инструмента, и прочие “шорткаты” для увеличения продуктивности использования редактора",1,,,Редактор рівнів,,,,,,Костянтин Щербина,,1,tasks
Вкладки,Возможность одновременно открыть и переключаться между несколькими уровнями в редакторе при помощи вкладок,1,,,Редактор рівнів,,,,,,Костянтин Щербина,,1,tasks
Навигация,Функционал масштабирования уровня а также перемещеня видимой области в редакторе,2,,,Редактор рівнів,,,,,,Костянтин Щербина,,1,tasks
Скриптинг,"Возможность добавлять собстенное поведение противникам и/или другим игровым элементам при помощи скриптов. К примеру, в C# .NET можно использовать библиотеку YantraJS либо jint для выполнения скриптов на JavaScript. Ну или можно реализовать свой простой язык, например использующий просто записанный в столбик набор команд (однако такой язык должен как минимум поддерживать простые условия по типу проверки наличия препятствий)",6,,,Фічі,,,,,,Костянтин Щербина,,1,tasks
Полёт пули,Отрисовка плавного полёта пули,1,,,Графіка,,,,,,yooud,,4,tasks
Ігрові елементи різних розмірів,"Наприклад, клітинка поля займає 1 клітинку консолі, а гравець – 16 (квадрат 4 на 4). Це значно ускладнює не тільки відображення елементів на екрані, а й перевірку на зіткнення між елементами.",2,,,Графіка,,,,,,Роман Геньбач,,3,tasks
Многоуровневая архитектура приложения,"Несколько слоёв (например, стандартные три в MVC), использование Dependency Injection, и т.п.",2,,,Реалізація,,,,,,Віталій Ляпота,,0,tasks
Общая кодовая база (3-я лаба),"Общая кодовая база между консолью и GUI (все классы игровой логики, кроме ввода/вывода)\n💡 Обязательное задание на 90 по 3-й лабе",4,,,Реалізація,,,,,,Віталій Ляпота,,0,tasks
Восьма монетка,"Приклад звіта:\n* У базовому класі Element:\n  * virtual bool CanMove()\n  * abstract void Action(Engine engine)\n* У класі Wall перекривається:\n  * CanMove()\n* У класі Coin перекривається:\n  * Action(Engine engine)\n* Клас Engine — це ...\nАбо інший приклад:\n* У базовому класі BaseEntity:\n  * поле bool CanGoThrough\n  * поле bool isKilling\n  * метод React()\n* У класі Monster:\n  * у конструкторі: isKilling = True\n* У класі Barrier:\n  * у конструкторі: CanGoThrough = False\n* Клас Player доступний у BaseEntity через поле та конструктор\nЦе просто приклади, робіть по-своєму, але кратко та зрозуміло :)\nЯкщо в вас цікаве або нестандартне рішення — давайте подробиці",1,,,Реалізація,,,,,,Віталій Ляпота,,0,tasks
Алгоритм “конечного автомата состояний” (finite state machine),"Использовать модель “Finite State Machine” в любой части проекта. Реализовать валидацию переходов между состояниями, сделать невозможным репрезентацию некорректного состояния",3,,,Реалізація,,,,,,Костянтин Щербина,,0,tasks
Анимация с использованием фрагментых шейдеров,"Реализовать в GUI версии игры анимацию при помощи фрагментных шейдеров (fragment shaders), выполняемых на видеокарте",4,,,Реалізація,,,,,,Костянтин Щербина,,0,tasks
Зворотній відлік,"Зворотній відлік перед початком гри, що виглядає як спалахуючі на екрані надписи: «3», «2», «1», «START».",1,,,Вікна,,,,,,Kseniia Lebedenko,,5,tasks
Вибір режиму гри,Можливість обрати режим гри перед початком.,1,,,Вікна,,,,,,Юлія Дручек,,2,tasks
Игра по сети через “ретранслятор”,"Реализовать отдельную программу-ретранслятор, предназначенную для запуска на сервере, которая позволит игрокам связываться без прямого соединения через локальную сеть. Для идентификации игровой сессии можно использовать временные короткие цифрово-буквенные коды (как в игре Among Us), либо систему аккаунтов (если она реализована)",4,,,Фічі,,,,,,Костянтин Щербина,,1,tasks
Поддержка игровых контроллеров (геймпадов),Реализовать базовую поддержку использования игровых контроллеров (хотя бы блока стрелок). Для чтения ввода с контроллера на C# можно использовать библиотеку HIDDevices. Для эмуляции игрового контроллера можно использовать например программу с открытым исходным кодом X360CE.,3,,,Вікна,,,,,,Костянтин Щербина,,3,tasks
Рендер движок,"Игра отрисовывает макеты, которые состоят из виджетов",4,,,Фічі,,,,,,yooud,,1,tasks
Создание карты комнат,Алгоритм соединения комнат в единую карту,4,,,Створення рівнів,,,,,,yooud,,1,tasks
Перезапуск рівня,Перезапуск поточного рівня через меню паузи,1,,,Вікна,,,,,,Костянтин Щербина,,1,tasks
3д-графика,Используя Ray casting\n(количество монеток можно сделать больше либо меньше),6,,,Графіка,,,,,,Артем Васютін,,0,tasks
Возможность играть на мобильных устройствах 🦋,,3,,,Фічі,,,,,,Артем Васютін,,0,tasks
📽️ Виправлення зауважень з другої лаби,,1,,,Відео-демки,,,,,,Віталій Ляпота,,0,tasks
