Название,Монеты,Категория,Описание задания,"Игры, давшие эту идею",use,Баллы,new?,Тип задания,Title
Видеозаставки игровых сцен,2,Уровни,"Во время игры при определенных условиях запускается соответствующий видеофрагмент, который показывает небольшую сцену, которая относиться к этому моменту.\nПри этом игровой процесс временно останавливается\nНапример, при первом сборе алмаза, при первой встрече с врагом и т.д.",,0,2,true,Разное,⭕️ 🎛 Видеозаставки игровых сцен
Системные требования к игре,1,Основа,Определение минимальных (и/или рекомендованных) системных требований для игры,,9,1,true,Разное,⭕️ ✔️ Системные требования к игре
Руководство к игре,2,Фичи,"Создание руководства для игрока, которое описывает возможности и правила игры",,4,2,true,Разное,⭕️ ⭐️ Руководство к игре
Обзор (рецензия) к игре,2,Фичи,"Написание обзора (рецензии) игры, в котором описываются как преимущества игры, так и ее недостатки, а также дается общая оценка игре",,2,2,true,Разное,⭕️ ⭐️ Обзор (рецензия) к игре
Ведение блога разработчика,2,Фичи,"Создание блога разработчика, в котором публикуется информация по поводу игры",,2,2,true,Разное,⭕️ ⭐️ Ведение блога разработчика
"Подсчет расстояния, которые преодолели камни за время падения под воздействием гравитации",1,Уровни,"Игра выполняет подсчет расстояния, которые преодолели камни за время падения под воздействием гравитации",,2,1,true,Разное,"⭕️ 🎛 Подсчет расстояния, которые преодолели камни за время падения под воздействием гравитации"
"Подсчет расстояния, которое преодолел игрок, перемещая камни",1,Уровни,"Игра выполняет подсчет расстояния, которое преодолел игрок, перемещая камни",,2,1,true,Разное,"⭕️ 🎛 Подсчет расстояния, которое преодолел игрок, перемещая камни"
Сохранение игровой статистики за сессию в базу данных,3,Фичи,Игра выполняет сохранение игровых статистических данных в базу данных,,1,3,true,Разное,⭕️ ⭐️ Сохранение игровой статистики за сессию в базу данных
"Отображение количества песка, который выкопал игрок на расстоянии",½,Фичи,"Игра позволяет отобразить количество песка, который выкопал игрок на игровой панели, это количество может изменятся в течении игры",💎 2: Boulder Dash,1,0.5,true,Разное,"⭕️ ⭐️ Отображение количества песка, который выкопал игрок на расстоянии"
"Подсчет количества песка, который выкопал игрок на расстоянии",1,Фичи,"Игра позволяет подсчитать количество песка, который выкопал игрок на расстоянии в течении игры",💎 2: Boulder Dash,1,1,true,Разное,"⭕️ ⭐️ Подсчет количества песка, который выкопал игрок на расстоянии"
Огнестойкость,1,Бонус,Предотвращает воздействие огня на игрока,,0,1,true,Элемент,🧩 ➕ Огнестойкость
Увеличение силы,1,Бонус,"В зоне действия этого элемента повышается урон, наносимый игроком",,0,1,true,Элемент,🧩 ➕ Увеличение силы
